Player,Pk,Age at Draft,Height (in),MPG-NBA,AST-NBA,TOV-NBA,AST/TOV-NBA,AST%-NBA,TOV%-NBA,MPG-Col,AST-Col,TOV-Col,AST/TOV-Col,AST%-Col,TOV%-Col,SOS-Col
Delon Wright,20,23.065,77,17.1,2.3,1.0,2.3,19.6,14.2,34.8,5.2,2.2,2.4,30.8,15.8,6.82
Tyus Jones,24,19.05,73,15.7,2.8,0.7,4.0,24.4,15.0,33.9,5.6,1.9,2.9,27.5,15.9,9.87
Zach LaVine,13,19.113,77,28.7,3.2,2.1,1.5,18.6,13.8,24.4,1.8,1.1,1.6,12.6,11.6,7.62
Donovan Mitchell,13,20.293,75,33.4,3.7,2.7,1.4,19.4,12.6,26.0,2.2,1.3,1.7,15.9,10.8,9.44
Daequan Cook,21,20.066,77,18.3,0.7,0.5,1.4,6.6,7.6,19.7,1.0,1.4,0.7,11.0,13.8,9.03
Kirk Snyder,16,21.025,78,16.8,1.1,1.0,1.1,11.5,13.8,30.8,2.7,3.1,0.9,12.2,16.2,3.25
Ben McLemore,7,20.141,77,24.5,1.2,1.3,0.9,7.3,13.2,32.2,2.0,2.1,1.0,12.6,14.2,7.54
Michael Carter-Williams,11,21.266,78,27.5,4.9,2.7,1.8,29.1,18.1,25.4,5.2,2.3,2.3,39.1,21.8,8.29
Shane Larkin,18,20.273,71,19.1,2.9,1.2,2.4,22.9,17.7,31.3,3.6,2.1,1.7,23.4,17.5,7.03
Shabazz Napier,24,22.353,73,15.7,1.9,1.1,1.7,18.1,16.9,32.3,4.5,2.4,1.9,29.2,16.7,8.64
Justin Anderson,21,21.223,78,14.3,0.7,0.6,1.2,7.9,10.4,24.1,1.8,1.3,1.4,16.5,13.6,6.64
Buddy Hield,6,22.194,76,24.1,1.7,1.4,1.2,11.6,11.3,31.7,1.9,2.2,0.9,12.9,12.7,9.28
Rashad McCants,14,20.281,76,20.2,1.3,1.5,0.9,11.5,13.4,29.2,2.1,2.2,1.0,14.3,13.2,11.00
Josh Hart,30,22.114,77,23.2,1.3,0.7,1.9,7.6,10.1,28.0,1.8,1.3,1.4,13.3,11.0,8.51
Eric Maynor,20,22.02,74,14.6,2.8,1.1,2.5,29.5,18.8,30.7,5.2,2.4,2.2,36.3,26.3,-0.76
Dejounte Murray,29,19.282,77,17.4,2.3,1.4,1.6,20.6,17.6,33.5,4.4,3.2,1.4,25.6,16.3,8.12
Denzel Valentine,14,22.225,77,22.9,2.3,1.1,2.1,15.1,12.5,29.0,4.4,2.2,2.0,29.5,18.0,9.21
Norris Cole,28,22.258,74,22.3,2.7,1.4,1.9,18.8,16.4,29.4,3.3,2.0,1.7,26.0,13.4,1.92
John Jenkins,23,21.12,76,12.8,0.8,0.6,1.3,9.9,11.6,30.6,1.1,1.3,0.8,8.2,9.2,7.59
Nik Stauskas,8,20.267,78,21.1,1.6,1.1,1.5,11.7,13.9,32.9,2.3,1.5,1.5,13.4,11.8,9.85
Luke Kennard,12,21.003,77,20.0,1.7,0.9,1.9,12.7,12.2,31.2,2.0,1.2,1.7,12.4,8.3,10.75
Jimmer Fredette,10,22.123,74,13.4,1.4,0.9,1.6,16.8,13.9,29.6,3.7,2.5,1.5,26.3,13.8,3.56
Lonzo Ball,2,19.243,78,34.2,7.2,2.6,2.8,29.2,18.6,35.1,7.6,2.5,3.0,31.4,18.6,6.39
Cameron Payne,14,20.326,74,15.4,2.4,1.0,2.4,23.7,13.4,32.4,5.7,2.9,2.0,37.1,14.5,-3.19
D'Angelo Russell,2,19.127,77,27.8,4.3,2.7,1.6,26.5,16.0,33.9,5.0,2.9,1.7,30.1,14.8,7.37
Acie Law,11,22.159,75,12.7,1.6,0.8,2.0,19.6,16.5,30.8,4.5,2.5,1.8,31.8,16.5,4.53
