Player,MPG,AST,TOV,AST/TOV,AST%,TOV%,SOS
Malachi Richardson,34.4,2.1,2.1,1.0,12.8,14.0,9.75
Malik Monk,32.1,2.3,2.0,1.2,13.3,10.4,10.49
Troy Bell,35.7,3.5,2.3,1.5,21.6,13.6,5.85
Reece Gaines,31.6,3.8,2.7,1.4,23.4,16.4,7.91
Rashad Vaughn,32.3,1.6,2.2,0.7,11.8,11.8,3.38
De'Aaron Fox,29.6,4.6,2.4,1.9,28.6,13.7,10.49
Dennis Smith,34.8,6.2,3.4,1.8,34.2,17.3,8.09
Nolan Smith,26.9,2.8,2.0,1.4,21.1,14.4,8.97
Maurice Ager,25.6,1.5,1.7,0.9,12.0,13.3,8.19
Marquis Teague,32.6,4.8,2.7,1.8,25.6,21.1,7.93
Jonny Flynn,36.5,6.0,3.1,1.9,26.8,17.3,8.72
Tony Wroten,30.3,3.7,3.8,1.0,24.5,18.7,5.27
Mardy Collins,37.5,3.2,2.0,1.6,22.6,11.2,5.33
